ID	type	x	z	theta	cover	uniqueCode	color
3	3.0x12.0x25.0	-36.2249	255.7993	270	-1	3	1,0.9686275,0.9058824,0
11	18.0x7.0x7.5	-53.86333	340.051	0	1	13	0.4245283,0.4245283,0.5411765,1
12	18.0x7.0x7.5	-90.80121	339.6851	0	1	14	0.4245283,0.4245283,0.5411765,1
15	20.0x3.0x4.0	-200.7787	309.3964	270	1	17	0.4245283,0.4245283,0.5411765,1
16	4.0x18.0x7.0	-123.9213	342.4843	270	-1	20	0.4206852,0.6529703,0.3578818,0
21	5.0x15.0x30.0	7.578438	361.987	0.1499251	-1	41	1,0.9686275,0.9058824,0
22	5.0x15.0x30.0	7.574901	302.0361	0	-1	42	1,0.9686275,0.9058824,0
23	15.0x7.0x7.5	-28.02505	316.927	90.00001	1	55	0.4245283,0.4245283,0.5411765,1
25	3.0x12.0x25.0	108.6297	258.2508	270	-1	106	1,0.9686275,0.9058824,0
27	5.0x18.0x7.0	24.92524	281.924	180	-1	110	1,0.9686275,0.9058824,0
30	18.0x7.0x7.5	24.40112	318.9592	269.9999	1	113	0.4245283,0.4245283,0.5411765,1
31	18.0x7.0x7.5	24.37051	354.8157	269.9999	1	114	0.4245283,0.4245283,0.5411765,1
