ID	type	x	z	theta	cover	uniqueCode	color
3	3.0x12.0x25.0	-36.2249	255.7993	270	-1	3	1,0.9686275,0.9058824,0
11	18.0x7.0x7.5	-53.86333	340.051	0	1	13	0.4245283,0.4245283,0.5411765,1
12	18.0x7.0x7.5	-90.80121	339.6851	0	1	14	0.4245283,0.4245283,0.5411765,1
15	20.0x3.0x4.0	-200.7787	309.3964	270	1	17	0.4245283,0.4245283,0.5411765,1
16	4.0x18.0x7.0	-123.9213	342.4843	270	-1	20	0.4206852,0.6529703,0.3578818,0
21	5.0x15.0x30.0	7.578438	361.987	0.1499251	-1	41	1,0.9686275,0.9058824,0
22	5.0x15.0x30.0	7.574901	301.4562	0	-1	42	1,0.9686275,0.9058824,0
23	15.0x7.0x7.5	-28.02505	316.927	90.00001	1	55	0.4245283,0.4245283,0.5411765,1
24	3.0x12.0x25.0	108.2951	256.7572	270	-1	58	1,0.9686275,0.9058824,0
25	5.0x18.0x7.0	22.84027	279.6106	0	-1	60	1,0.9686275,0.9058824,0
26	18.0x7.0x7.5	25.69532	311.2131	270	1	61	0.4245283,0.4245283,0.5411765,1
27	18.0x7.0x7.5	25.62002	347.1101	270	1	62	0.4245283,0.4245283,0.5411765,1
