ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/t_hokkaido.png	-37.08491,19.104,241.6193	-1,0,0	0,1,0	0,0,1	0.1370779	-6.562503	0.2	4.8	Wooden_thin2	3:3	4
3	./Images/北大/Sub Panel 1.png	-123.9213,28.656,338.4843	-1,0,0	0,1,0	0,0,1	-0.02305195	-4.837506	0.2	1.4	none(caption)	16:3	21
4	./Images/gaku/hokkaido1.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	56.79385	-21.498	0.2	1	Wooden_thin	-1:-1	36
5	./Images/gaku/hokkaido2.jpg	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	41.8452	-21.687	0.2	1	Metal_Vertical2	-1:-1	37
6	./Images/t_nagasaki.png	73.97483,19.104,240.5171	-1,0,0	0,1,0	0,0,1	0.2606407	-3.223503	0.2	4.8	Wooden_thin2	24:3	59
7	./Images/長崎大/Sub Panel 1.png	26.27899,28.656,339.0024	-1,0,0	0,1,0	0,0,1	0.1274872	-5.404502	0.2	1.4	none(caption)	25:1	63
8	./Images/長崎大/MainPanel.png	0,48.75,395	1,0,0	0,1,0	0,0,1	74.13953	7.765502	0.2	9	Wooden_thin2	-1:-1	73
9	./Images/北大/MainPanel.png	0,48.75,395	1,0,0	0,1,0	0,0,1	-73.94853	7.261501	0.2	9	Wooden_thin2	-1:-1	74
11	./Images/gaku/nagasaki1.png	12.5749,23.88,301.4562	0,0,1	0,1,0	-1,0,0	-3.349858	1.765499	0.2	1	Wooden_thin	22:1	78
12	./Images/gaku/nagasaki2.png	12.5749,23.88,301.4562	0,0,1	0,1,0	-1,0,0	-17.19164	2.017497	0.2	1	Metal_Vertical2	22:1	79
13	./Images/t_osaka.png	-67.39308,19.104,130.5035	0,0,1	0,1,0	-1,0,0	0	-4.704001	0.2	4.8	Wooden_thin2	29:1	119
15	./Images/大阪大/Sub Panel 1.png	-120.8175,28.656,34.79662	0,0,-1	0,1,0	-1,0,0	-0.1251287	-4.9635	0.2	1.4	none(caption)	36:3	142
16	./Images/大阪大/MainPanel.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-100.201	3.512999	0.2	9	Wooden_thin2	-1:-1	143
17	./Images/gaku/osaka1.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-26.39498	-21.624	0.2	1	Metal_Vertical2	-1:-1	144
18	./Images/gaku/osaka2.png	-146.25,48.75,200	0,0,1	0,1,0	-1,0,0	-12.04991	-21.7815	0.2	1	Wooden_thin	-1:-1	145
