id	data	x	y	z	theta	size	parent	uniqueCode
74	Images/yuka1.png,none(caption)	11.51001	-0.5	34.97992	3.200002,22.28843,0	6	63	198
66	Videos/osaka_min.mp4	-65.68005	39.5	1.540003	1.6,85.5423,0	6	57	183
67	Videos/hokkaido_min.mp4	-78.43001	31	-4.04	0,85.19135,0	6	58	185
68	Videos/nagasaki_min.mp4	-69.63002	31.5	1.930001	0,86.67725,0	6	59	187
69	Videos/tokyo_min.mp4	-77.55002	35.5	10.84	0,86.67725,0	6	61	190
18	Images/北大/Sub Panel 2.png,Wooden_thin2	1.009999	7.5	-15.28004	0,9.29629,0	1	12	45
19	Images/北大/Sub Panel 3.png,Wooden_thin2	0.8900001	7.5	-4.860008	0,9.218783,0	1	12	46
20	Images/北大/Sub Panel 4.png,Wooden_thin2	0.9799992	7.5	7.120009	0,9.218783,0	1	12	47
21	Images/北大/Sub Panel 5.png,Wooden_thin2	1.01	7.5	17.55998	0,9.218802,0	1	12	48
22	Images/北大/Sub Panel 6.png,Wooden_thin2	0.9599997	7.5	-17.97004	0,9.308258,0	1	11	49
23	Images/北大/Sub Panel 7.png,Wooden_thin2	1.159999	7.5	5.409997	0,9.688687,0	1	11	50
24	Images/北大/Sub Panel 8.png,Wooden_thin2	0.6099998	7.5	-7.400005	0,8.999999,0	1	11	51
27	Images/北大/Sub Panel 9.png,Wooden_thin2	1.139999	7.5	15.82997	0,9.766155,0	1	11	54
28	Images/北大/Sub Panel 10.png,Wooden_thin2	-0.3200002	8	-5.170006	0,7.585376,0	1	23	56
29	Images/北大/Sub Panel 11.png,Wooden_thin2	-0.2700009	8	5.389993	0,7.585376,0	1	23	57
30	Images/長崎大/Sub Panel 2.png,Wooden_thin2	0	8.5	-12.04	0,7.72834,0	1	26	64
31	Images/長崎大/Sub Panel 3.png,Wooden_thin2	0	8.5	1.460001	0,7.72834,0	1	26	65
32	Images/長崎大/Sub Panel 4.png,Wooden_thin2	0	8.5	11.9	0,7.72834,0	1	26	66
33	Images/長崎大/Sub Panel 6.png,Wooden_thin2	0	8.5	-22.98008	0,7.72834,0	1	27	67
34	Images/長崎大/Sub Panel 7.png,Wooden_thin2	0	8.5	-12.57002	0,7.72834,0	1	27	68
35	Images/長崎大/Sub Panel 8.png,Wooden_thin2	-0.01	8.5	2.049986	0,7.72834,0	1	27	69
37	Images/長崎大/Sub Panel 9.png,Wooden_thin2	0	8.5	12.47003	0,7.72834,0	1	27	71
38	Images/長崎大/Sub Panel 10.png,Wooden_thin2	0	8.5	22.95002	0,7.72834,0	1	27	72
41	Images/大阪大/Sub Panel 2.png,Wooden_thin2	0	8.5	-15.08002	0,7.72834,0	1	33	124
43	Images/大阪大/Sub Panel 3.png,Wooden_thin2	0	8.5	-5.109998	0,7.72834,0	1	33	126
44	Images/大阪大/Sub Panel 4.png,Wooden_thin2	0	8.5	5.329995	0,7.72834,0	1	33	127
45	Images/大阪大/Sub Panel 5.png,Wooden_thin2	0	8.5	15.87002	0,7.72834,0	1	33	128
46	Images/大阪大/Sub Panel 6.png,Wooden_thin2	0	8.5	-14.51	0,7.72834,0	1	34	130
47	Images/大阪大/Sub Panel 7.png,Wooden_thin2	0	8.5	-4.169999	0,7.72834,0	1	34	131
48	Images/大阪大/Sub Panel 8-A.png,Wooden_thin2	0	8.5	6.179998	0,7.72834,0	1	34	132
49	Images/大阪大/Sub Panel 8-B.png,Wooden_thin2	0	8.5	16.11003	0,7.72834,0	1	34	133
50	Images/大阪大/Sub Panel 9.png,Wooden_thin2	-0.01	8.5	-10.05001	0,7.72834,0	1	35	135
51	Images/大阪大/Sub Panel 10.png,Wooden_thin2	0	8.5	-0.06000007	0,7.72834,0	1	35	136
52	Images/大阪大/Sub Panel 11.png,Wooden_thin2	0	8.5	10.11001	0,7.72834,0	1	35	137
55	Images/東大/Sub Panel 2.png,Wooden_thin2	0	8.5	-15.24001	0,7.72834,0	1	39	152
56	Images/東大/Sub Panel 3.png,Wooden_thin2	0	8.5	-4.96	0,7.72834,0	1	39	153
57	Images/東大/Sub Panel 4-A.png,Wooden_thin2	0	8.5	5.329998	0,7.72834,0	1	39	154
58	Images/東大/Sub Panel 4-B.png,Wooden_thin2	0	8.5	15.62002	0,7.72834,0	1	39	155
59	Images/東大/Sub Panel 5.png,Wooden_thin2	0	8.5	-5.159998	0,7.72834,0	1	41	156
60	Images/東大/Sub Panel 6.png,Wooden_thin2	0	8.5	5.189998	0,7.72834,0	1	41	157
61	Images/東大/Sub Panel 7.png,Wooden_thin2	0	8.5	-10.89001	0,7.72834,0	1	42	158
62	Images/東大/Sub Panel 8.png,Wooden_thin2	0	8.5	-0.8	0,7.72834,0	1	42	159
63	Images/東大/Sub Panel ９.png,Wooden_thin2	0	8.5	9.540007	0,7.72834,0	1	42	160
