id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,9,1.626001	0,0,1		0
2	3	1		0,9,27.60222	0,0,1		0
3	4	2		0.974489,6.75,105.3448	0.05553404,0,0.9984568		45.29103
4	-1	3	#C_エントランス	0.7367874,9.628654,106.8023	0.07001334,0,0.9975461		-2.163269
5	6	-1	#C_東大医科学研究所	30.47408,6.947534,118.4488	0.9999693,0,0		8.774961
6	7	5		37.12922,8.801469,170.7594	0.9792228,0,-0.2027878		0.6749525
7	8	6		62.78022,10.4444,160.4858	0.995805,0,-0.091501		-5.325043
8	9	7		99.17325,11.25,123.1457	0.9999452,0,0.01047313		-21.37503
9	10	8		96.24121,7.659686,194.6917	0.9998767,0,-0.01570606		4.874963
10	11	9		105.845,6.75,170.7632	0.99901,0,-0.04448962		29.32494
11	12	10		113.2099,6.75,169.3672	0.9999863,0,0		46.27496
12	13	11		113.1707,6.75,161.8728	0.9999863,0,0		46.27496
13	14	12		113.1272,6.75,153.5612	0.9999863,0,0		46.27496
14	15	13		113.0927,6.75,146.9724	0.9999863,0,0		46.27496
15	16	14		112.9955,6.75,128.3996	0.9999863,0,0		46.27496
16	17	15		112.958,6.75,121.23	0.9999863,0,0		46.27496
17	18	16		112.8591,6.75,102.3238	0.9999863,0,0		46.27496
18	19	17		112.8203,6.75,94.9094	0.9999863,0,0		46.27496
19	20	18		112.7808,6.75,87.36388	0.9999863,0,0		46.27496
20	21	19		81.66858,10.75321,117.8639	0.9896514,0,0.1434932		-6.825073
21	22	20		90.31334,9.15452,74.46037	0.894545,0,-0.4469779		-0.5250549
22	23	21		104.8757,8.845517,50.09967	0.9999452,0,-0.01047051		0.5249301
23	24	22		129.9455,8.845517,54.18033	0.9999452,0,-0.01047051		0.5249301
24	25	23		129.8062,8.845517,40.87029	0.9999452,0,-0.01047051		0.5249301
25	4	24		73.43642,9.546722,35.37402	0.5269554,0,0.849893		-1.875061
26	27	-1	#C_阪大微生物病研究所	-34.2036,6.995236,123.3546	-0.9999635,0,0		8.399997
27	28	26		-45.67678,7.058849,84.89669	-0.9987404,0,0.04971966		7.949996
28	29	27		-74.13889,9.044174,66.5579	-0.9984663,0,0.05494848		-0.1499939
29	30	28		-99.69636,11.25,94.40246	-0.9998538,0,0.01570642		-21.29999
30	31	29		-95.69375,7.179712,48.81301	-0.9999464,0,0		7.200005
31	32	30		-101.8339,7.440554,36.36784	-0.9999772,0,0		5.850006
32	33	31		-108.0874,6.75,54.44128	-0.9998915,0,-0.01308962		29.4
33	34	32		-117.8735,6.75,54.38341	-0.9999738,0,0		44.09998
34	35	33		-117.891,6.75,61.04553	-0.9999738,0,0		44.09998
35	36	34		-117.9129,6.75,69.4323	-0.9999738,0,0		44.09998
36	37	35		-117.9333,6.75,77.21478	-0.9999738,0,0		44.09998
37	38	36		-117.964,6.75,88.96767	-0.9999738,0,0		44.09998
38	39	37		-117.9864,6.75,97.4802	-0.9999738,0,0		44.09998
