id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,9,1.626001	0,0,1		0
2	3	1		0,9,27.60222	0,0,1		0
3	4	2		0.974489,6.75,105.3448	0.05553404,0,0.9984568		45.29103
4	-1	3	#C_エントランス	0.7367874,9.628654,106.8023	0.07001334,0,0.9975461		-2.163269
5	6	-1	#C_東大医科学研究所	30.47408,6.947534,118.4488	0.9999693,0,0		8.774961
6	7	5		37.12922,8.801469,170.7594	0.9792228,0,-0.2027878		0.6749525
7	8	6		62.78022,10.4444,160.4858	0.995805,0,-0.091501		-5.325043
8	9	7		99.17325,11.25,123.1457	0.9999452,0,0.01047313		-21.37503
9	10	8		96.24121,7.659686,194.6917	0.9998767,0,-0.01570606		4.874963
10	11	9		89.96754,7.455401,172.3017	0.9998719,0,0.01600939		5.780374
11	12	10		109.3586,6.75,176.5059	0.9999202,0,-0.01262772		30.92183
12	13	11		109.3962,6.75,166.4619	0.9999636,0,0		31.12002
13	14	12		111.0878,6.75,156.6106	0.9999948,0,0		30.51858
14	15	13		111.7639,6.75,145.8066	0.99985,0,-0.0173198		27.55599
15	16	14		109.8444,6.75,126.5259	0.9999239,0,0.0123421		33.92578
16	17	15		109.8814,6.75,116.6127	0.999933,0,0.01157039		32.86763
17	18	16		109.9664,6.75,97.91104	1,0,0		32.38694
18	19	17		108.831,6.75,88.14049	0.9999996,0,0		31.89275
19	20	18		110.5505,6.75,77.21342	0.9999939,0,0		31.4289
20	21	19		81.66858,10.75321,117.8639	0.9896514,0,0.1434932		-6.825073
21	22	20		90.31334,9.15452,74.46037	0.894545,0,-0.4469779		-0.5250549
22	23	21		104.8757,8.845517,50.09967	0.9999452,0,-0.01047051		0.5249301
23	24	22		129.9455,8.845517,54.18033	0.9999452,0,-0.01047051		0.5249301
24	25	23		129.8062,8.845517,40.87029	0.9999452,0,-0.01047051		0.5249301
25	4	24		73.43642,9.546722,35.37402	0.5269554,0,0.849893		-1.875061
26	27	-1	#C_阪大微生物病研究所	-34.2036,6.995236,123.3546	-0.9999635,0,0		8.399997
27	28	26		-45.67678,7.058849,84.89669	-0.9987404,0,0.04971966		7.949996
28	29	27		-74.13889,9.044174,66.5579	-0.9984663,0,0.05494848		-0.1499939
29	30	28		-99.69636,11.25,94.40246	-0.9998538,0,0.01570642		-21.29999
30	31	29		-95.69375,7.179712,48.81301	-0.9999464,0,0		7.200005
31	32	30		-102.7917,7.340877,30.18905	-0.9993556,0,-0.03589475		6.33459
32	33	31		-108.0874,6.75,54.44128	-0.9998915,0,-0.01308962		29.4
33	34	32		-116.4869,6.75,45.94666	-0.9999692,0,0		30.9614
34	35	33		-115.9154,6.75,56.48813	-0.9999691,0,0		31.62108
35	36	34		-116.0161,6.75,66.72759	-0.9999691,0,0		32.25235
36	37	35		-118.0841,6.75,77.60561	-0.999957,0,0		30.65582
37	38	36		-115.1598,6.75,96.55344	-0.9999993,0,0		31.20011
38	39	37		-116.6218,6.75,106.9412	-0.9999999,0,0		32.31565
