id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,9,1.626001	0,0,1		0
2	3	1		0,9,27.60222	0,0,1		0
3	4	2		0.04996531,9.169187,74.75536	0,0,0.9999924		-0.5749817
4	-1	3	#C_エントランス	-0.1057369,6.75,99.33561	0.06801528,0,0.9976843		46.94995
5	6	-1	#C_東大医科学研究所	30.47408,6.947534,118.4488	0.9999693,0,0		8.774961
6	7	6		37.12922,8.801469,170.7594	0.9792228,0,-0.2027878		0.6749525
7	8	7		62.78022,10.4444,160.4858	0.995805,0,-0.091501		-5.325043
8	9	8		99.17325,11.25,123.1457	0.9999452,0,0.01047313		-21.37503
9	10	9		96.24121,7.659686,194.6917	0.9998767,0,-0.01570606		4.874963
10	11	10		105.845,6.75,170.7632	0.99901,0,-0.04448962		29.32494
11	12	11		113.2099,6.75,169.3672	0.9999863,0,0		46.27496
12	13	12		113.1707,6.75,161.8728	0.9999863,0,0		46.27496
13	14	13		113.1272,6.75,153.5612	0.9999863,0,0		46.27496
14	15	14		113.0927,6.75,146.9724	0.9999863,0,0		46.27496
15	16	15		112.9955,6.75,128.3996	0.9999863,0,0		46.27496
16	17	16		112.958,6.75,121.23	0.9999863,0,0		46.27496
17	18	17		112.8591,6.75,102.3238	0.9999863,0,0		46.27496
18	19	18		112.8203,6.75,94.9094	0.9999863,0,0		46.27496
19	20	19		112.7808,6.75,87.36388	0.9999863,0,0		46.27496
20	21	20		81.66858,10.75321,117.8639	0.9896514,0,0.1434932		-6.825073
21	22	21		90.31334,9.15452,74.46037	0.894545,0,-0.4469779		-0.5250549
22	23	22		104.8757,8.845517,50.09967	0.9999452,0,-0.01047051		0.5249301
23	24	23		129.9455,8.845517,54.18033	0.9999452,0,-0.01047051		0.5249301
24	25	24		129.8062,8.845517,40.87029	0.9999452,0,-0.01047051		0.5249301
25	4	-1		73.43642,9.546722,35.37402	0.5269554,0,0.849893		-1.875061

